Plugin	Plugin Name	Family	Severity	IP Address	Node Name	Branch	DeviceCategory	Environment	Criticality	Protocol	Port	Plugin Output	First Discovered	Last Observed	Synopsis	Description	Steps to Remediate	See Also	Vulnerability Priority Rating	Exploit Prediction Scoring System (EPSS)	CPE	CVE
62694	Internet Key Exchange (IKE) Aggressive Mode with Pre-Shared Key	General	High		N/A	Dublin	N/A	N/A	Critical	UDP	500		"Jun 06, 2026 10:37:27 CEST"	"Aug 15, 2026 10:38:52 CEST"	The remote IKEv1 service supports Aggressive Mode with Pre-Shared key.	The remote Internet Key Exchange (IKE) version 1 service seems to support Aggressive Mode with Pre-Shared key (PSK) authentication. Such a configuration could allow an attacker to capture and crack the PSK of a VPN gateway and gain unauthorized access to private networks.	"- Disable Aggressive Mode if supported.
- Do not use Pre-Shared key for authentication if it's possible.
- If using Pre-Shared key cannot be avoided, use very strong keys.
- If possible, do not allow VPN connections from any IP addresses.

Note that this "	"http://www.nessus.org/u?8d6444d2
https://www.ernw.de/download/pskattack.pdf
http://www.nessus.org/u?d77bc12e
https://www.securityfocus.com/bid/7423"	7.8	48.57		CVE-2002-1623
153545	VMware vCenter Server < 7.0 U2c Multiple Vulnerabilities (VMSA-2021-0020)	Misc.	High		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	443	"<plugin_output>
  VMware vCenter version    : 7.0
  Installed build           : 17958471
  Fixed build               : 18356314
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	A virtualization management application installed on the remote host is affected by multiple vulnerabilities.	"The version of VMware vCenter Server installed on the remote host is 7.0 prior to 7.0 U2c. It is, therefore, affected  by multiple vulnerabilities:

    - An arbitrary file upload vulnerability exists in the analytics service of vSphere Server. An       unauthenticated, remote attacker can exploit this to upload arbitrary files on the remote host       and execute code using a specially crafted file. (CVE-2021-22005)

    - A privilege escalation vulnerability exists in vCenter Server due to the way it handles session tokens.       An authenticated, local attacker can exploit this to gain unauthorized access to the system.       (CVE-2021-21991, CVE-2021-22015)

    - A reverse proxy bypass vulnerability exists in vCenter Server due to the way the endpoints handle the URI.       An unauthenticated, remote attacker can exploit this to gain unauthorized access to restricted endpoints.
      (CVE-2021-22006) 

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version   number. Nessus has also not tested for the presence of a workaround."	Upgrade to VMware vCenter Server 7.0 U2c or later or apply the workaround mentioned in the advisory.	https://www.vmware.com/security/advisories/VMSA-2021-0020.html	8.9	100	cpe:/a:vmware:vcenter_server	"CVE-2021-21991,CVE-2021-21992,CVE-2021-21993,CVE-2021-22005,CVE-2021-22006,CVE-2021-22007,CVE-2021-22008,CVE-2021-22009,CVE-2021-22010,CVE-2021-22014,CVE-2021-22015,CVE-2021-22019,CVE-2021-22020"
153546	VMware vCenter Server < 7.0 U2d Multiple Vulnerabilities (VMSA-2021-0020)	Misc.	Low		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	443	"<plugin_output>
  VMware vCenter version    : 7.0
  Installed build           : 17958471
  Fixed build               : 18455184
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	A virtualization management application installed on the remote host is affected by multiple vulnerabilities.	"The version of VMware vCenter Server installed on the remote host is prior to 7.0 U2d. It is, therefore, affected  by multiple vulnerabilities:

    - An unauthenticated API endpoint vulnerability exists in the vCenter Server Content Library. An       unauthenticated, remote attacker can exploit this to perform unauthenticated VM network setting       manipulation. (CVE-2021-22011)

    - A file deletion vulnerability exists in the VMware vSphere Life-cycle Manager plug-in.       A unauthenticated, remote attacker can exploit this to delete non-critical files.       (CVE-2021-22018)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version   number. Nessus has also not tested for the presence of a workaround."	Upgrade to VMware vCenter Server 7.0 U2d or later or apply the workaround mentioned in the advisory.	https://www.vmware.com/security/advisories/VMSA-2021-0020.html	2.1	1.11	cpe:/a:vmware:vcenter_server	"CVE-2021-22011,CVE-2021-22018"
153889	VMware vCenter Server Arbitrary File Upload (VMSA-2021-0020)	Misc.	High		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	443	"<plugin_output>Nessus was able to detect the issue by sending the following HTTP request to the remote host:

POST /analytics/telemetry/ph/api/hyper/send?_c&_i=test HTTP/1.1
Host: 21.233.200.230
Accept-Charset: iso-8859-1,utf-8;q=0.9,*;q=0.1
Accept-Language: en
Content-Type: application/json
Connection: Keep-Alive
Content-Length: 15
Pragma: no-cache
User-Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*

Test_Workaround

Nessus received the following response from the server:

HTTP/1.1 201 Created
 content-length: 0
date: Sat, 15 Aug 2026 08:07:58 GMT
server: envoy
x-envoy-upstream-service-time: 3

 
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	A virtualization management application installed on the remote host is affected by a arbitrary file upload vulnerability.	"An arbitrary file upload vulnerability exists in vCenter Server. An unauthenticated, remote attacker with network access to port 443 on vCenter Server may exploit this issue to execute code on vCenter Server by uploading a specially crafted file."	Upgrade to VMware vCenter Server 7.0 U2c or later or apply the workaround mentioned in the advisory.	https://kb.vmware.com/s/article/85717	8.9	100	cpe:/a:vmware:vcenter_server	CVE-2021-22005
159306	VMware vCenter Server 6.5 / 6.7 / 7.0 Information Disclosure (VMSA-2022-0009)	Misc.	Medium		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	443	"<plugin_output>
  Installed version : 7.0 Build 17958471
  Fixed version     : 7.0 U3d
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	A virtualization management application installed on the remote host is affected by an information disclosure vulnerability.	"The version of VMware vCenter Server installed on the remote host is 6.5 prior to 6.5 U3r, 6.7 prior to 6.7 U3p, or 7.0 prior to 7.0 U3d. It is, therefore, affected by an information disclosure vulnerability due to improper permission of files. A malicious actor with non-administrative access to the vCenter Server may exploit this issue to gain access to sensitive information.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version   number. Nessus has also not tested for the presence of a workaround."	"Upgrade to VMware vCenter Server 6.5 U3r, 6.7 U3p, or 7.0 U3d or later."	"https://www.vmware.com/security/advisories/VMSA-2022-0009.html
https://www.pentera.io/blog/information-disclosure-in-vmware-vcenter/"	5.8	13.94	cpe:/a:vmware:vcenter_server	CVE-2022-22948
159491	OpenSSH < 8.0	Misc.	Medium		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	22	"<plugin_output>
  Version source    : SSH-2.0-OpenSSH_7.8
  Installed version : 7.8
  Fixed version     : 8.0
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The SSH server running on the remote host is affected by multiple vulnerabilities.	"According to its banner, the version of OpenSSH running on the remote host is prior to 8.0. It is, therefore, affected by the following vulnerabilities:

  - A permission bypass vulnerability due to improper directory name validation. An unauthenticated, remote     attacker can exploit this, with a specially crafted scp server, to change the permission of a directory     on the client. (CVE-2018-20685)

  - Multiple arbitrary file downloads due to improper validation of object name and stderr output. An unauthenticated     remote attacker can exploit this, with a specially crafted scp server, to include additional hidden     files in the transfer. (CVE-2019-6109, CVE-2019-6110)

  - An arbitrary file write vulnerability due to improper object name validation. An unauthenticated, remote     attacker can exploit this, with a specially crafted scp server, to overwrite arbitrary files in the     client directory. (CVE-2019-6111)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."	Upgrade to OpenSSH version 8.0 or later.	"https://sintonen.fi/advisories/scp-client-multiple-vulnerabilities.txt
https://www.openssh.com/txt/release-8.0"	5.7	58.2	cpe:/a:openbsd:openssh	"CVE-2018-20685,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111"
163100	VMware vCenter Server 6.5 / 6.7 / 7.0 SSRF (VMSA-2022-0018)	Misc.	Low		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	443	"<plugin_output>
  Installed version : 7.0 Build 17958471
  Fixed version     : 7.0 U3f
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	A virtualization management application installed on the remote host is affected by a server-side request forgery vulnerability.	"The version of VMware vCenter Server installed on the remote host is 6.5 prior to 6.5 U3t, 6.7 prior to 6.7 U3r, or 7.0 prior to 7.0 U3f. It is, therefore, affected by a server-side request forgery (SSRF) vulnerability. A remote attacker with network access to port 433 can exploit this send a URL request outside of vCenter Server or to an internal service.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version   number. Nessus has also not tested for the presence of a workaround."	"Upgrade to VMware vCenter Server 6.5 U3t, 6.7 U3r, or 7.0 U3f or later."	https://www.vmware.com/security/advisories/VMSA-2022-0018.html	3	0.22	cpe:/a:vmware:vcenter_server	CVE-2022-22982
168746	VMware vCenter Server 6.5 < 6.5 U3u / 6.7 < 6.7.0 U3s / 7.0 < 7.0 U3i  Multiple Vulnerabilities (VMSA-2022-0030)	Misc.	Low		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	443	"<plugin_output>
  Installed version : 7.0 Build 17958471
  Fixed version     : 7.0 U3i
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	A virtualization management application installed on the remote host is affected by multiple vulnerabilities.	"The version of VMware vCenter Server installed on the remote host is affected by multiple vulnerabilities, as follows:

  - An information disclosure vulnerability due to plaintext logging of credentials. (CVE-2022-31697)

  - A denial of service (DoS) vulnerability in the content library service. (CVE-2022-31698)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number. Nessus has also not tested for the presence of a workaround."	"Upgrade to VMware vCenter Server 6.5 U3u, 6.7.0 U3s, 7.0 U3i or later."	https://www.vmware.com/security/advisories/VMSA-2022-0030.html	3	47.79	cpe:/a:vmware:vcenter_server	"CVE-2022-31697,CVE-2022-31698"
177742	VMware vCenter Server 7.0 < 7.0 U3m / 8.0 < 8.0 U1b Multiple Vulnerabilities (VMSA-2023-0014)	Misc.	Medium		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	443	"<plugin_output>
  Installed version : 7.0 Build 17958471
  Fixed version     : 7.0 U3m
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	A virtualization management application installed on the remote host is affected by multiple vulnerabilities.	"The version of vCenter Server installed on the remote host is 7.0 prior to 7.0 U3m or 8.0 prior to 8.0 U1b. It is, therefore, affected by multiple vulnerabilities, as follows:

  - A heap overflow vulnerability due to the usage of uninitialized memory in the implementation of the DCERPC protocol.
  (CVE-2023-20892)

  - A use-after-free vulnerability in the implementation of the DCERPC protocol. (CVE-2023-20893)

  - An out-of-bounds write vulnerability in the implementation of the DCERPC protocol. (CVE-2023-20894)

  - A memory corruption vulnerability in the implementation of the DCERPC protocol. (CVE-2023-20895)

  - An out-of-bounds read vulnerability in the implementation of the DCERPC protocol. (CVE-2023-20896)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."	"Upgrade to vCenter Server 7.0 U3m, 8.0 U1b or later."	https://www.vmware.com/security/advisories/VMSA-2023-0014.html	4.9	33.94	cpe:/a:vmware:vcenter_server	"CVE-2023-20892,CVE-2023-20893,CVE-2023-20894,CVE-2023-20895,CVE-2023-20896"
183957	VMware vCenter Server 6.5 < 6.5U3v / 6.7 < 6.7U3t / 7.0 < 7.0U3o / 8.0 < 8.0U1d Out-of-bounds Write (VMSA-2023-0023)	Misc.	High		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	443	"<plugin_output>
  Installed version : 7.0 Build 17958471
  Fixed version     : 7.0 Build 22357613 (U3o)
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The VMware vCenter Server is affected by an out-of-bounds write vulnerability.	"The version of VMware vCenter Server installed on the remote host is 6.5 prior to 6.5U3v, 6.7 prior to 6.7U3t, 7.0 prior to 7.0U3o, or 8.0 prior to 8.0U1d. It is, therefore, affected by an out-of-bounds write vulnerability as referenced in the VMSA-2023-0023 advisory:

  - vCenter Server contains an out-of-bounds write vulnerability in the implementation of the DCERPC protocol. A     malicious actor with network access to vCenter Server may trigger an out-of-bounds write potentially leading to     remote code execution. (CVE-2023-34048)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."	"Upgrade to VMware vCenter Server 6.5U3v, 6.7U3t, 7.0U3o, or 8.0U1d or later."	"https://www.vmware.com/security/advisories/VMSA-2023-0023.html
https://core.vmware.com/resource/vmsa-2023-0023-questions-answers"	8.9	99.43	cpe:/a:vmware:vcenter_server	CVE-2023-34048
